year,team,conference
2022,"A&M-Corpus Christi",Southland
2022,"Abilene Christian",WAC
2022,"Air Force","Mountain West"
2022,Akron,MAC
2022,Alabama,SEC
2022,"Alabama A&M",SWAC
2022,"Alabama St.",SWAC
2022,Alcorn,SWAC
2022,American,Patriot
2022,"App State","Sun Belt"
2022,Arizona,Pac-12
2022,"Arizona St.",Pac-12
2022,"Ark.-Pine Bluff",SWAC
2022,Arkansas,SEC
2022,"Arkansas St.","Sun Belt"
2022,"Army West Point",Patriot
2022,Auburn,SEC
2022,"Austin Peay",OVC
2022,"Ball St.",MAC
2022,Baylor,"Big 12"
2022,Bellarmine,ASUN
2022,Belmont,OVC
2022,Bethune-Cookman,SWAC
2022,Binghamton,"America East"
2022,"Boise St.","Mountain West"
2022,"Boston College",ACC
2022,"Boston U.",Patriot
2022,"Bowling Green",MAC
2022,Bradley,MVC
2022,Brown,"Ivy League"
2022,Bryant,NEC
2022,Bucknell,Patriot
2022,Buffalo,MAC
2022,Butler,"Big East"
2022,BYU,WCC
2022,"Cal Poly","Big West"
2022,"Cal St. Fullerton","Big West"
2022,California,Pac-12
2022,"California Baptist",WAC
2022,Campbell,"Big South"
2022,Canisius,MAAC
2022,"Central Ark.",ASUN
2022,"Central Conn. St.",NEC
2022,"Central Mich.",MAC
2022,"Charleston So.","Big South"
2022,Charlotte,C-USA
2022,Chattanooga,SoCon
2022,"Chicago St.",WAC
2022,Cincinnati,AAC
2022,Clemson,ACC
2022,"Cleveland St.",Horizon
2022,"Coastal Carolina","Sun Belt"
2022,"Col. of Charleston",CAA
2022,Colgate,Patriot
2022,Colorado,Pac-12
2022,"Colorado St.","Mountain West"
2022,Columbia,"Ivy League"
2022,"Coppin St.",MEAC
2022,Cornell,"Ivy League"
2022,Creighton,"Big East"
2022,"CSU Bakersfield","Big West"
2022,CSUN,"Big West"
2022,Dartmouth,"Ivy League"
2022,Davidson,"Atlantic 10"
2022,Dayton,"Atlantic 10"
2022,Delaware,CAA
2022,"Delaware St.",MEAC
2022,Denver,"Summit League"
2022,DePaul,"Big East"
2022,"Detroit Mercy",Horizon
2022,"Dixie St.",WAC
2022,Drake,MVC
2022,Drexel,CAA
2022,Duke,ACC
2022,Duquesne,"Atlantic 10"
2022,"East Carolina",AAC
2022,"Eastern Ill.",OVC
2022,"Eastern Ky.",ASUN
2022,"Eastern Mich.",MAC
2022,"Eastern Wash.","Big Sky"
2022,Elon,CAA
2022,ETSU,SoCon
2022,Evansville,MVC
2022,Fairfield,MAAC
2022,"Fairleigh Dickinson",NEC
2022,FGCU,ASUN
2022,FIU,C-USA
2022,"Fla. Atlantic",C-USA
2022,Florida,SEC
2022,"Florida A&M",SWAC
2022,"Florida St.",ACC
2022,Fordham,"Atlantic 10"
2022,"Fresno St.","Mountain West"
2022,Furman,SoCon
2022,"Ga. Southern","Sun Belt"
2022,Gardner-Webb,"Big South"
2022,"George Mason","Atlantic 10"
2022,"George Washington","Atlantic 10"
2022,Georgetown,"Big East"
2022,Georgia,SEC
2022,"Georgia St.","Sun Belt"
2022,"Georgia Tech",ACC
2022,Gonzaga,WCC
2022,Grambling,SWAC
2022,"Grand Canyon",WAC
2022,"Green Bay",Horizon
2022,Hampton,"Big South"
2022,Hartford,"America East"
2022,Harvard,"Ivy League"
2022,Hawaii,"Big West"
2022,"High Point","Big South"
2022,Hofstra,CAA
2022,"Holy Cross",Patriot
2022,Houston,AAC
2022,"Houston Baptist",Southland
2022,Howard,MEAC
2022,Idaho,"Big Sky"
2022,"Idaho St.","Big Sky"
2022,Illinois,"Big Ten"
2022,"Illinois St.",MVC
2022,Indiana,"Big Ten"
2022,"Indiana St.",MVC
2022,Iona,MAAC
2022,Iowa,"Big Ten"
2022,"Iowa St.","Big 12"
2022,IUPUI,Horizon
2022,"Jackson St.",SWAC
2022,Jacksonville,ASUN
2022,"Jacksonville St.",ASUN
2022,"James Madison",CAA
2022,Kansas,"Big 12"
2022,"Kansas City","Summit League"
2022,"Kansas St.","Big 12"
2022,"Kennesaw St.",ASUN
2022,"Kent St.",MAC
2022,Kentucky,SEC
2022,"La Salle","Atlantic 10"
2022,Lafayette,Patriot
2022,"Lamar University",WAC
2022,Lehigh,Patriot
2022,Liberty,ASUN
2022,Lipscomb,ASUN
2022,"Little Rock","Sun Belt"
2022,LIU,NEC
2022,"LMU (CA)",WCC
2022,"Long Beach St.","Big West"
2022,Longwood,"Big South"
2022,Louisiana,"Sun Belt"
2022,"Louisiana Tech",C-USA
2022,Louisville,ACC
2022,"Loyola Chicago",MVC
2022,"Loyola Maryland",Patriot
2022,LSU,SEC
2022,Maine,"America East"
2022,Manhattan,MAAC
2022,Marist,MAAC
2022,Marquette,"Big East"
2022,Marshall,C-USA
2022,Maryland,"Big Ten"
2022,Massachusetts,"Atlantic 10"
2022,McNeese,Southland
2022,Memphis,AAC
2022,Mercer,SoCon
2022,Merrimack,NEC
2022,"Miami (FL)",ACC
2022,"Miami (OH)",MAC
2022,Michigan,"Big Ten"
2022,"Michigan St.","Big Ten"
2022,"Middle Tenn.",C-USA
2022,Milwaukee,Horizon
2022,Minnesota,"Big Ten"
2022,"Mississippi St.",SEC
2022,"Mississippi Val.",SWAC
2022,Missouri,SEC
2022,"Missouri St.",MVC
2022,Monmouth,MAAC
2022,Montana,"Big Sky"
2022,"Montana St.","Big Sky"
2022,"Morehead St.",OVC
2022,"Morgan St.",MEAC
2022,"Mount St. Mary's",NEC
2022,"Murray St.",OVC
2022,"N.C. A&T","Big South"
2022,"N.C. Central",MEAC
2022,Navy,Patriot
2022,"NC State",ACC
2022,Nebraska,"Big Ten"
2022,Nevada,"Mountain West"
2022,"New Hampshire","America East"
2022,"New Mexico","Mountain West"
2022,"New Mexico St.",WAC
2022,"New Orleans",Southland
2022,Niagara,MAAC
2022,Nicholls,Southland
2022,NIU,MAC
2022,NJIT,"America East"
2022,"Norfolk St.",MEAC
2022,"North Ala.",ASUN
2022,"North Carolina",ACC
2022,"North Dakota","Summit League"
2022,"North Dakota St.","Summit League"
2022,"North Florida",ASUN
2022,"North Texas",C-USA
2022,Northeastern,CAA
2022,"Northern Ariz.","Big Sky"
2022,"Northern Colo.","Big Sky"
2022,"Northern Ky.",Horizon
2022,Northwestern,"Big Ten"
2022,"Northwestern St.",Southland
2022,"Notre Dame",ACC
2022,Oakland,Horizon
2022,Ohio,MAC
2022,"Ohio St.","Big Ten"
2022,Oklahoma,"Big 12"
2022,"Oklahoma St.","Big 12"
2022,"Old Dominion",C-USA
2022,"Ole Miss",SEC
2022,Omaha,"Summit League"
2022,"Oral Roberts","Summit League"
2022,Oregon,Pac-12
2022,"Oregon St.",Pac-12
2022,Pacific,WCC
2022,Penn,"Ivy League"
2022,"Penn St.","Big Ten"
2022,Pepperdine,WCC
2022,Pittsburgh,ACC
2022,Portland,WCC
2022,"Portland St.","Big Sky"
2022,"Prairie View",SWAC
2022,Presbyterian,"Big South"
2022,Princeton,"Ivy League"
2022,Providence,"Big East"
2022,Purdue,"Big Ten"
2022,"Purdue Fort Wayne",Horizon
2022,Quinnipiac,MAAC
2022,Radford,"Big South"
2022,"Rhode Island","Atlantic 10"
2022,Rice,C-USA
2022,Richmond,"Atlantic 10"
2022,Rider,MAAC
2022,"Robert Morris",Horizon
2022,Rutgers,"Big Ten"
2022,"Sacramento St.","Big Sky"
2022,"Sacred Heart",NEC
2022,"Saint Francis (PA)",NEC
2022,"Saint Joseph's","Atlantic 10"
2022,"Saint Louis","Atlantic 10"
2022,"Saint Mary's (CA)",WCC
2022,"Saint Peter's",MAAC
2022,"Sam Houston",WAC
2022,Samford,SoCon
2022,"San Diego",WCC
2022,"San Diego St.","Mountain West"
2022,"San Francisco",WCC
2022,"San Jose St.","Mountain West"
2022,"Santa Clara",WCC
2022,"Seattle U",WAC
2022,"Seton Hall","Big East"
2022,SFA,WAC
2022,Siena,MAAC
2022,SIUE,OVC
2022,SMU,AAC
2022,"South Alabama","Sun Belt"
2022,"South Carolina",SEC
2022,"South Carolina St.",MEAC
2022,"South Dakota","Summit League"
2022,"South Dakota St.","Summit League"
2022,"South Fla.",AAC
2022,"Southeast Mo. St.",OVC
2022,"Southeastern La.",Southland
2022,"Southern California",Pac-12
2022,"Southern Ill.",MVC
2022,"Southern Miss.",C-USA
2022,"Southern U.",SWAC
2022,"Southern Utah","Big Sky"
2022,"St. Bonaventure","Atlantic 10"
2022,"St. Francis Brooklyn",NEC
2022,"St. John's (NY)","Big East"
2022,"St. Thomas (MN)","Summit League"
2022,Stanford,Pac-12
2022,Stetson,ASUN
2022,"Stony Brook","America East"
2022,Syracuse,ACC
2022,"Tarleton St.",WAC
2022,TCU,"Big 12"
2022,Temple,AAC
2022,Tennessee,SEC
2022,"Tennessee St.",OVC
2022,"Tennessee Tech",OVC
2022,Texas,"Big 12"
2022,"Texas A&M",SEC
2022,"Texas Southern",SWAC
2022,"Texas St.","Sun Belt"
2022,"Texas Tech","Big 12"
2022,"The Citadel",SoCon
2022,Toledo,MAC
2022,Towson,CAA
2022,Troy,"Sun Belt"
2022,Tulane,AAC
2022,Tulsa,AAC
2022,UAB,C-USA
2022,UAlbany,"America East"
2022,"UC Davis","Big West"
2022,"UC Irvine","Big West"
2022,"UC Riverside","Big West"
2022,"UC San Diego","Big West"
2022,"UC Santa Barbara","Big West"
2022,UCF,AAC
2022,UCLA,Pac-12
2022,UConn,"Big East"
2022,UIC,Horizon
2022,UIW,Southland
2022,ULM,"Sun Belt"
2022,"UMass Lowell","America East"
2022,UMBC,"America East"
2022,UMES,MEAC
2022,"UNC Asheville","Big South"
2022,"UNC Greensboro",SoCon
2022,UNCW,CAA
2022,UNI,MVC
2022,UNLV,"Mountain West"
2022,"USC Upstate","Big South"
2022,"UT Arlington","Sun Belt"
2022,"UT Martin",OVC
2022,Utah,Pac-12
2022,"Utah St.","Mountain West"
2022,"Utah Valley",WAC
2022,UTEP,C-USA
2022,UTRGV,WAC
2022,UTSA,C-USA
2022,Valparaiso,MVC
2022,Vanderbilt,SEC
2022,VCU,"Atlantic 10"
2022,Vermont,"America East"
2022,Villanova,"Big East"
2022,Virginia,ACC
2022,"Virginia Tech",ACC
2022,VMI,SoCon
2022,Wagner,NEC
2022,"Wake Forest",ACC
2022,Washington,Pac-12
2022,"Washington St.",Pac-12
2022,"Weber St.","Big Sky"
2022,"West Virginia","Big 12"
2022,"Western Caro.",SoCon
2022,"Western Ill.","Summit League"
2022,"Western Ky.",C-USA
2022,"Western Mich.",MAC
2022,"Wichita St.",AAC
2022,"William & Mary",CAA
2022,Winthrop,"Big South"
2022,Wisconsin,"Big Ten"
2022,Wofford,SoCon
2022,"Wright St.",Horizon
2022,Wyoming,"Mountain West"
2022,Xavier,"Big East"
2022,Yale,"Ivy League"
2022,"Youngstown St.",Horizon
