,book,team1,highest_ev,team1_ev,team1_p,team1_spread,team1_book_odds,team2,team2_ev,team2_p,team2_spread,team2_book_odds,away_fuzzy_match,home_fuzzy_match
24,fanduel,Texas A&M,346.218487394958,346.218487394958,0.9915966386554622,-19.851423263549805,350,SFA,-98.97894641727659,0.008403361344537815,19.851423263549805,-465,Texas A&M-Commerce Lions,Stephen F. Austin Lumberjacks
1,draftkings,Wichita St.,151.125,151.125,0.6125,-6.5283203125,310,Tulsa,-52.542134831460686,0.3875,6.5283203125,-445,Wichita St Shockers,Tulsa Golden Hurricane
0,fanduel,Wichita St.,145.0,145.0,0.6125,-6.5283203125,300,Tulsa,-52.238372093023266,0.3875,6.5283203125,-430,Wichita St Shockers,Tulsa Golden Hurricane
12,fanduel,Nicholls,34.50549450549451,-48.439560439560445,0.25274725274725274,5.994003295898434,104,UTRGV,34.50549450549451,0.7472527472527473,-5.994003295898434,-125,Nicholls St Colonels,UT Rio Grande Valley Vaqueros
16,draftkings,Iowa,25.882352941176478,25.882352941176478,0.370242214532872,5.550723075866699,240,Ohio St.,-15.89140986043055,0.629757785467128,-5.550723075866699,-298,Iowa Hawkeyes,Ohio State Buckeyes
3,draftkings,Navy,23.171355498721226,-36.21483375959079,0.3411764705882353,5.4558868408203125,-115,Army West Point,23.171355498721226,0.6588235294117647,-5.4558868408203125,-115,Navy Midshipmen,Army Knights
15,fanduel,Iowa,22.179930795847753,22.179930795847753,0.370242214532872,5.550723075866699,230,Ohio St.,-14.927457050931832,0.629757785467128,-5.550723075866699,-285,Iowa Hawkeyes,Ohio State Buckeyes
20,fanduel,Texas Southern,21.907993966817493,-38.841628959276015,0.28054298642533937,7.646484375,118,Alabama St.,21.907993966817493,0.7194570135746606,-7.646484375,-144,Texas Southern Tigers,Alabama St Hornets
2,fanduel,Navy,19.884281581485055,-33.076923076923066,0.3411764705882353,5.4558868408203125,-104,Army West Point,19.884281581485055,0.6588235294117647,-5.4558868408203125,-122,Navy Midshipmen,Army Knights
5,draftkings,Eastern Ill.,13.282051282051285,13.282051282051285,0.24102564102564103,11.0,370,Little Rock,-8.453608247422686,0.7589743589743589,-11.0,-485,Eastern Illinois Panthers,Arkansas-Little Rock Trojans
23,fanduel,Houston Christian,13.23051948051949,-45.7142857142857,0.16964285714285715,9.50912094116211,220,Southeastern La.,13.23051948051949,0.8303571428571429,-9.50912094116211,-275,Houston Christian Huskies,SE Louisiana Lions
4,fanduel,Eastern Ill.,8.461538461538467,8.461538461538467,0.24102564102564103,11.0,350,Little Rock,-7.780534877309076,0.7589743589743589,-11.0,-465,Eastern Illinois Panthers,Arkansas-Little Rock Trojans
18,fanduel,McNeese,8.19047619047619,-9.740259740259738,0.6619047619047619,-5.443655490875244,-275,A&M-Corpus Christi,8.19047619047619,0.3380952380952381,5.443655490875244,220,McNeese Cowboys,Texas A&M-CC Islanders
25,fanduel,Towson,5.671296296296298,-15.277777777777779,0.4236111111111111,2.9708375930786133,100,Northeastern,5.671296296296298,0.5763888888888888,-2.9708375930786133,-120,Towson Tigers,Northeastern Huskies
10,fanduel,Grambling,5.460269214068603,5.460269214068603,0.7397959183673469,-10.614477157592773,-235,Ark.-Pine Bluff,-24.540816326530617,0.2602040816326531,10.614477157592773,190,Grambling St Tigers,Arkansas-Pine Bluff Golden Lions
29,draftkings,Iowa St.,4.434742647058819,-12.678760593220339,0.47265625,1.029378890991211,-118,Arizona,4.434742647058819,0.52734375,-1.029378890991211,-102,Iowa State Cyclones,Arizona Wildcats
28,fanduel,Iowa St.,1.5625,-10.152730855855857,0.47265625,1.029378890991211,-111,Arizona,1.5625,0.52734375,-1.029378890991211,-108,Iowa State Cyclones,Arizona Wildcats
22,draftkings,NC State,1.25,-100.0,0.0,25.852386474609375,2200,Duke,1.25,1.0,-25.852386474609375,-8000,NC State Wolfpack,Duke Blue Devils
21,fanduel,NC State,1.0,-100.0,0.0,25.852386474609375,2200,Duke,1.0,1.0,-25.852386474609375,-10000,NC State Wolfpack,Duke Blue Devils
14,fanduel,Florida A&M,0.4464285714285694,-17.96875,0.21875,10.739081382751465,275,Jackson St.,0.4464285714285694,0.78125,-10.739081382751465,-350,Florida A&M Rattlers,Jackson St Tigers
7,fanduel,Southern Miss.,0.2272727272727284,-32.0,0.1,16.04458999633789,580,Troy,0.2272727272727284,0.9,-16.04458999633789,-880,Southern Miss Golden Eagles,Troy Trojans
19,fanduel,Prairie View,-0.7118725868725804,-0.7118725868725804,0.5223214285714286,-0.3948202133178711,-111,Alabama A&M,-8.002645502645507,0.47767857142857145,0.3948202133178711,-108,Prairie View Panthers,Alabama A&M Bulldogs
6,fanduel,Bethune-Cookman,-0.8333333333333428,-0.8333333333333428,0.575,-3.241143226623535,-138,Alcorn,-8.624999999999993,0.425,3.241143226623535,115,Bethune-Cookman Wildcats,Alcorn St Braves
17,fanduel,Northwestern St.,-1.642857142857146,-1.642857142857146,0.413265306122449,3.6286950111389125,138,Lamar University,-5.981067125645431,0.5867346938775511,-3.6286950111389125,-166,Northwestern St Demons,Lamar Cardinals
26,fanduel,UCLA,-2.037677816224523,-6.599332896910759,0.4913494809688581,0.640625,-111,Southern California,-2.037677816224523,0.5086505190311419,-0.640625,-108,UCLA Bruins,USC Trojans
11,fanduel,Holy Cross,-2.4977258944814977,-7.27941176470587,0.35661764705882354,4.925714969635013,160,Boston U.,-2.4977258944814977,0.6433823529411765,-4.925714969635013,-194,Holy Cross Crusaders,Boston Univ. Terriers
9,draftkings,Penn St.,-2.942315137437088,-7.439024390243901,0.24041811846689895,12.495857238769531,285,Michigan,-2.942315137437088,0.759581881533101,-12.495857238769531,-360,Penn State Nittany Lions,Michigan Wolverines
8,fanduel,Penn St.,-3.231349338933704,-7.439024390243901,0.24041811846689895,12.495857238769531,285,Michigan,-3.231349338933704,0.759581881533101,-12.495857238769531,-365,Penn State Nittany Lions,Michigan Wolverines
27,draftkings,UCLA,-3.7197231833909896,-5.369729591182882,0.4913494809688581,0.640625,-108,Southern California,-3.7197231833909896,0.5086505190311419,-0.640625,-112,UCLA Bruins,USC Trojans
13,fanduel,South Alabama,-4.144385026737968,-4.144385026737968,0.8786764705882353,-16.9699764251709,-1100,ULM,-5.367647058823522,0.1213235294117647,16.9699764251709,680,South Alabama Jaguars,UL Monroe Warhawks
